Date,daily_ic,decile_spread,stocks,year,rolling_ic_63
2024-10-01,0.0884506362121834,0.03272732313718359,499,2024,0.029748652401379534
2024-10-02,0.21610662288432284,0.06926097944819967,499,2024,0.03388690557630847
2024-10-03,0.13360958060699712,0.040832731994427204,499,2024,0.0381218984153045
2024-10-04,-0.045305647439457225,-0.017831300192998494,499,2024,0.04035639073135752
2024-10-07,0.0645742569476302,0.0018944956533285314,499,2024,0.04345268237756829
2024-10-08,0.04832151049086123,-0.009061613163718053,499,2024,0.0461890390074469
2024-10-09,-0.03363507738368302,-0.027813394772053614,499,2024,0.04729402043712591
2024-10-10,0.03599275659753241,0.004841919513847704,499,2024,0.05069978702863749
2024-10-11,0.025716300070019557,-0.00020138230365774126,499,2024,0.054269691419557405
2024-10-14,-0.029688195668445317,-0.0207992669649844,499,2024,0.05744592110210092
2024-10-15,-0.07589675737016201,-0.01213572085752946,499,2024,0.058319470840706066
2024-10-16,0.002626264577347466,0.008944861727502095,499,2024,0.060420880774745125
2024-10-17,-0.020133858077600982,0.007643532407553422,499,2024,0.06069230064642575
2024-10-18,-0.024574546683728903,-0.01285564381104556,499,2024,0.06185078054368441
2024-10-21,-0.06984928893932443,-0.031317433636669216,499,2024,0.06232057306427733
2024-10-22,-0.12329410628485885,-0.04369727641709762,499,2024,0.06152771099667301
2024-10-23,-0.1241448680493517,-0.03914243198370328,499,2024,0.058708591020250465
2024-10-24,-0.03323929787285414,-0.027112553283169076,499,2024,0.05856895355062773
2024-10-25,-0.03822295192795228,-0.015370859269070135,499,2024,0.0578939205624866
2024-10-28,-0.06565458628099571,-0.02770696422698649,499,2024,0.05805902414889062
2024-10-29,-0.056973706449042656,-0.003910085860433224,499,2024,0.058666231296020985
2024-10-30,-0.10455706593910713,-0.030269338660699748,499,2024,0.05844118606308044
2024-10-31,-0.1337623681097134,-0.051347473744383546,499,2024,0.05244598050566613
2024-11-01,-0.06567071492382355,-0.014363278395757578,499,2024,0.04438829542810999
2024-11-04,-0.0325346596808074,0.017210860328679987,499,2024,0.043855924509182825
2024-11-05,-0.047161890045150534,0.021793944848612537,499,2024,0.04377212179187213
2024-11-06,-0.01927614264673926,0.0036513018683324424,499,2024,0.044285529559788914
2024-11-07,-0.12458256271579302,-0.0029920273764624337,499,2024,0.045579808306611305
2024-11-08,-0.12895323176473428,0.014501895465541106,499,2024,0.04676989090056188
2024-11-11,-0.030511239346162202,0.03878508380484135,499,2024,0.04905281053596962
2024-11-12,-0.07674742255595528,0.022973471196572615,499,2024,0.050119485480810536
2024-11-13,0.059460414805514644,0.03748962489552948,499,2024,0.05429679630824088
2024-11-14,-0.005757056281237172,0.03388011700875693,499,2024,0.05739441859431235
